"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"Substate","Texas-Bexar County","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","18.133","11.0371","59","1191160","2023-2024, Texas-Bexar County. Overall (6 months-17 years)","2","1","72","4","3","3720101","0","2023-2024"
"Substate","Texas-Bexar County","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","14.8365","10.9105","59","1191160","2023-2024, Texas-Bexar County. Overall (6 months-17 years)","3","1","72","4","3","3720101","0","2023-2024"
"Substate","Texas-Bexar County","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","45.7027","3.5795","2431","1191160","2023-2024, Texas-Bexar County. Overall (6 months-17 years)","1","1","72","4","3","3720101","0","2023-2024"
"Substate","Pennsylvania-Rest of State","Overall","Overall","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","21.2432","6.5275","868","2036068","2025-2026, Pennsylvania-Rest of State. Overall (6 months-17 years)",,"1","71","4","1","1710101","0","2025-2026"
"National","National","Age","6 months-4 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","36.7971","5.8474","1013","16454676","2025-2026, National. Age: 6 months-4 years","4","2","1","1","1","1010203","0","2025-2026"
"State","Nebraska","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","10.7276","9.2757","46","728632","2025-2026, Nebraska. Overall (6 months-17 years)","3","1","40","3","1","1400101","0","2025-2026"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","38.9588","13.172","157","4968802","2025-2026, National. Mother's Education: Less than high school","4","3","1","1","1","1010310","0","2025-2026"
"Region","Region 5","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","19.8062","5.6434","383","11192609","2025-2026, Region 5. Overall (6 months-17 years)","2","1","6","2","1","1060101","0","2025-2026"
"State","Oregon","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","36.4715","18.3635","38","1049410","2025-2026, Oregon. Overall (6 months-17 years)","4","1","50","3","1","1500101","0","2025-2026"
"National","National","Urbanicity","Urban (MSA Principal City)","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","21.8833","2.7199","10438","20103380","2025-2026, National. Urbanicity: Urban MSA Principal City",,"6","1","1","1","1010624","0","2025-2026"
"State","Maryland","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","24.0737","18.2817","50","898917","2025-2026, Maryland. Overall (6 months-17 years)","3","1","33","3","1","1330101","0","2025-2026"
"State","Massachusetts","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","26.0521","4.8618","637","945815","2025-2026, Massachusetts. Overall (6 months-17 years)","1","1","34","3","1","1340101","0","2025-2026"
"National","National","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","20.3838","1.3898","40018","71074905","2025-2026, National. Overall (6 months-17 years)","1","1","1","1","1","1010101","0","2025-2026"
"State","California","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","36.6565","17.9897","53","7214518","2025-2026, California. Overall (6 months-17 years)","2","1","16","3","1","1160101","0","2025-2026"
"State","Missouri","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","42.5914","21.2244","59","1191898","2025-2026, Missouri. Overall (6 months-17 years)","4","1","38","3","1","1380101","0","2025-2026"
"State","Montana","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","36.584","22.5647","39","251373","2025-2026, Montana. Overall (6 months-17 years)","4","1","39","3","1","1390101","0","2025-2026"
"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","21.8833","2.7199","10438","20103380","2025-2026, National. Urbanicity: Urban MSA Principal City","1","6","1","1","1","1010624","0","2025-2026"
"State","New Mexico","Overall","Overall","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","15.7105","4.7755","740","839526","2025-2026, New Mexico. Overall (6 months-17 years)",,"1","44","3","1","1440101","0","2025-2026"
"State","Indiana","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","8.9921","8.4402","43","1739927","2025-2026, Indiana. Overall (6 months-17 years)","2","1","27","3","1","1270101","0","2025-2026"
"National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.2369","2.6407","1813","33858807","2025-2026, National. Race/Ethnicity: White, Non-Hispanic","3","5","1","1","1","1010520","0","2025-2026"
"State","Arkansas","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","20.7892","11.5951","118","1567595","2025-2026, Arkansas. Overall (6 months-17 years)","3","1","15","3","1","1150101","0","2025-2026"
"National","National","Age","5-12 years","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","25.8088","3.9779","1223","32976212","2025-2026, National. Age: 5-12 years","2","2","1","1","1","1010208","0","2025-2026"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.4828","14.6561","49","392684","2025-2026, Idaho. Overall (6 months-17 years)","3","1","25","3","1","1250101","0","2025-2026"
"State","Colorado","Overall","Overall","Up-to-date","Yes","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.4952","3.2986","589","658301","2025-2026, Colorado. Overall (6 months-17 years)",,"1","17","3","1","1170101","0","2025-2026"
"National","National","Age","13-17 years","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","16.4895","3.5342","914","21644017","2025-2026, National. Age: 13-17 years","3","2","1","1","1","1010209","0","2025-2026"
"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","19.1685","2.9384","2384","4968802","2025-2026, National. Mother's Education: Less than high school","1","3","1","1","1","1010310","0","2025-2026"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","22.7823","5.0488","668","14693345","2025-2026, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0","2025-2026"
"State","Oklahoma","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","43.6428","16.2233","83","1731679","2025-2026, Oklahoma. Overall (6 months-17 years)","4","1","49","3","1","1490101","0","2025-2026"
"Region","Region 8","Overall","Overall","4-level vaccination and intent","Received a vaccination","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","15.9071","3.3481","4157","2805217","2025-2026, Region 8. Overall (6 months-17 years)","1","1","9","2","1","1090101","0","2025-2026"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","15.9508","3.0057","1538","32424762","2025-2026, National. Mother's Education: >= College degree","3","3","1","1","1","1010313","0","2025-2026"
"State","Kentucky","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","36.9812","18.6705","59","990904","2025-2026, Kentucky. Overall (6 months-17 years)","4","1","30","3","1","1300101","0","2025-2026"
"State","South Dakota","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","32.4196","16.6618","74","448383","2025-2026, South Dakota. Overall (6 months-17 years)","2","1","55","3","1","1550101","0","2025-2026"
"State","Missouri","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","30.8493","19.2727","59","1191898","2025-2026, Missouri. Overall (6 months-17 years)","2","1","38","3","1","1380101","0","2025-2026"
"State","Pennsylvania","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","October Week 2","2025 Oct 11 12:00:00 AM","2025-10-11","24.2794","8.9749","162","2760685","2025-2026, Pennsylvania. Overall (6 months-17 years)","2","1","51","3","1","1510101","0","2025-2026"
"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","December Week 1","2023 Dec 02 12:00:00 AM","2025-11-29","36.6723","1.1536","30586","14952226","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","3","3010415","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 1","2023 Dec 02 12:00:00 AM","2025-11-29","27.6705","2.9246","2417","33652432","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","4","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely will get a vaccine","December Week 1","2023 Dec 02 12:00:00 AM","2025-11-29","10.9229","1.8805","2417","33652432","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","2","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Probably will get a vaccine","December Week 1","2023 Dec 02 12:00:00 AM","2025-11-29","12.0365","2.1388","2417","33652432","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","3","4","1","1","3","3010414","0","2023-2024"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Received a vaccination","December Week 1","2023 Dec 02 12:00:00 AM","2025-11-29","49.3701","0.8435","69842","33652432","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","1","4","1","1","3","3010414","0","2023-2024"
"State","Oklahoma","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","24.1738","5.7382","840","994731","2025-2026, Oklahoma. Overall (6 months-17 years)",,"1","49","3","1","1490101","0","2025-2026"
"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","27.1019","2.3808","8399","14307398","2025-2026, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0","2025-2026"
"State","Wisconsin","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","29.662","24.5694","51","1030452","2025-2026, Wisconsin. Overall (6 months-17 years)","2","1","64","3","1","1640101","0","2025-2026"
"State","Nevada","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08",,,"536","1076002","2025-2026, Nevada. Overall (6 months-17 years)","1","1","41","3","1","1410101","1","2025-2026"
"Region","Region 5","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","13.0273","4.4902","413","11231908","2025-2026, Region 5. Overall (6 months-17 years)","2","1","6","2","1","1060101","0","2025-2026"
"State","Louisiana","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","27.3076","19.165","76","1262502","2025-2026, Louisiana. Overall (6 months-17 years)","3","1","31","3","1","1310101","0","2025-2026"
"State","Maryland","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","17.0618","12.4854","70","1300101","2025-2026, Maryland. Overall (6 months-17 years)","3","1","33","3","1","1330101","0","2025-2026"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","58.8098","18.7867","44","211195","2025-2026, Wyoming. Overall (6 months-17 years)","4","1","65","3","1","1650101","0","2025-2026"
"State","New Hampshire","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","36.6227","6.6898","605","380019","2025-2026, New Hampshire. Overall (6 months-17 years)",,"1","42","3","1","1420101","0","2025-2026"
"Region","Region 4","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","26.5197","2.1954","6330","14591404","2025-2026, Region 4. Overall (6 months-17 years)","1","1","5","2","1","1050101","0","2025-2026"
"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","16.4964","5.6314","435","11764060","2025-2026, National. Poverty Status: Below Poverty","2","4","1","1","1","1010416","0","2025-2026"
"State","Arkansas","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","15.5152","10.0765","82","698071","2025-2026, Arkansas. Overall (6 months-17 years)","2","1","15","3","1","1150101","0","2025-2026"
"National","National","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","34.179","2.8849","2983","71322930","2025-2026, National. Overall (6 months-17 years)","4","1","1","1","1","1010101","0","2025-2026"
"State","Delaware","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","35.519","6.8248","586","297843","2025-2026, Delaware. Overall (6 months-17 years)",,"1","19","3","1","1190101","0","2025-2026"
"State","Colorado","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","37.1989","5.3024","589","523970","2025-2026, Colorado. Overall (6 months-17 years)",,"1","17","3","1","1170101","0","2025-2026"
"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","40.774","6.0964","659","14975709","2025-2026, National. Mother's Education: Some college","4","3","1","1","1","1010312","0","2025-2026"
"State","West Virginia","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","26.8523","5.5152","765","378256","2025-2026, West Virginia. Overall (6 months-17 years)",,"1","63","3","1","1630101","0","2025-2026"
"State","South Dakota","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","19.4022","15.8137","51","357636","2025-2026, South Dakota. Overall (6 months-17 years)","2","1","55","3","1","1550101","0","2025-2026"
"State","Vermont","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","35.451","30.9266","69","198715","2025-2026, Vermont. Overall (6 months-17 years)","4","1","60","3","1","1600101","0","2025-2026"
"Region","Region 8","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","30.3865","2.7934","4157","2840287","2025-2026, Region 8. Overall (6 months-17 years)","1","1","9","2","1","1090101","0","2025-2026"
"State","Arizona","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","13.1069","17.2951","43","4436332","2025-2026, Arizona. Overall (6 months-17 years)","3","1","14","3","1","1140101","0","2025-2026"
"State","New Hampshire","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","20.8031","11.8019","53","380019","2025-2026, New Hampshire. Overall (6 months-17 years)","4","1","42","3","1","1420101","0","2025-2026"
"State","California","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","34.0621","5.4032","968","3838923","2025-2026, California. Overall (6 months-17 years)","1","1","16","3","1","1160101","0","2025-2026"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","34.3893","7.3204","562","1373081","2025-2026, Hawaii. Overall (6 months-17 years)","1","1","24","3","1","1240101","0","2025-2026"
"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","19.1424","7.8211","298","9885613","2025-2026, National. Race/Ethnicity: Black, Non-Hispanic","3","5","1","1","1","1010518","0","2025-2026"
"State","New Jersey","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","37.5181","5.4319","757","2286655","2025-2026, New Jersey. Overall (6 months-17 years)","1","1","43","3","1","1430101","0","2025-2026"
"State","Delaware","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","35.519","6.8248","586","297843","2025-2026, Delaware. Overall (6 months-17 years)","1","1","19","3","1","1190101","0","2025-2026"
"State","New York","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","35.7559","5.8734","959","3584590","2025-2026, New York. Overall (6 months-17 years)",,"1","45","3","1","1450101","0","2025-2026"
"State","Florida","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","25.1369","4.6524","932","2751001","2025-2026, Florida. Overall (6 months-17 years)",,"1","21","3","1","1210101","0","2025-2026"
"State","Texas","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","36.0348","8.7466","227","7249431","2025-2026, Texas. Overall (6 months-17 years)","4","1","57","3","1","1570101","0","2025-2026"
"State","Nevada","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08",,,"28","1076002","2025-2026, Nevada. Overall (6 months-17 years)","3","1","41","3","1","1410101","1","2025-2026"
"State","District of Columbia","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","46.4508","6.6392","770","505497","2025-2026, District of Columbia. Overall (6 months-17 years)","1","1","20","3","1","1200101","0","2025-2026"
"State","Indiana","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","30.9509","5.6969","550","2399366","2025-2026, Indiana. Overall (6 months-17 years)","1","1","27","3","1","1270101","0","2025-2026"
"Substate","Texas-City of Houston","Overall","Overall","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","43.6773","3.4731","2338","1337670","2023-2024, Texas-City of Houston. Overall (6 months-17 years)",,"1","73","4","3","3730101","0","2023-2024"
"Substate","Texas-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","40.5399","13.1525","91","3431520","2023-2024, Texas-Rest of State. Overall (6 months-17 years)","4","1","74","4","3","3740101","0","2023-2024"
"Substate","Texas-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.0254","9.5055","91","3431520","2023-2024, Texas-Rest of State. Overall (6 months-17 years)","2","1","74","4","3","3740101","0","2023-2024"
"Substate","Texas-Rest of State","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","8.2701","5.7976","91","3431520","2023-2024, Texas-Rest of State. Overall (6 months-17 years)","3","1","74","4","3","3740101","0","2023-2024"
"State","North Carolina","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","29.9046","5.7201","628","1971861","2025-2026, North Carolina. Overall (6 months-17 years)","1","1","46","3","1","1460101","0","2025-2026"
"State","Kansas","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","25.634","5.8253","536","529535","2025-2026, Kansas. Overall (6 months-17 years)",,"1","29","3","1","1290101","0","2025-2026"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","8.5327","7.4415","121","2663218","2025-2026, Illinois. Overall (6 months-17 years)","2","1","26","3","1","1260101","0","2025-2026"
"Substate","Texas-City of Houston","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","12.3442","13.1031","44","791827","2025-2026, Texas-City of Houston. Overall (6 months-17 years)","2","1","73","4","1","1730101","0","2025-2026"
"State","U.S. Virgin Islands","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08",,,"299","16605","2025-2026, Virgin Islands. Overall (6 months-17 years)","1","1","58","3","1","1580101","1","2025-2026"
"Substate","Texas-Bexar County","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","39.9259","20.0161","55","482016","2025-2026, Texas-Bexar County. Overall (6 months-17 years)","4","1","72","4","1","1720101","0","2025-2026"
"Substate","Texas-City of Houston","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","24.2825","19.6913","44","791827","2025-2026, Texas-City of Houston. Overall (6 months-17 years)","4","1","73","4","1","1730101","0","2025-2026"
"Substate","New York-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","13.8195","14.8198","55","1840743","2025-2026, New York-Rest of State. Overall (6 months-17 years)","2","1","69","4","1","1690101","0","2025-2026"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","19.1666","5.0249","564","643215","2025-2026, Idaho. Overall (6 months-17 years)","1","1","25","3","1","1250101","0","2025-2026"
"Region","Region 9","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","16.921","10.2973","152","10724338","2025-2026, Region 9. Overall (6 months-17 years)","2","1","10","2","1","1100101","0","2025-2026"
"National","National","Urbanicity","Rural (Non-MSA)","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","24.0083","2.6332","7838","9522998","2025-2026, National. Urbanicity: Rural (Non-MSA)",,"6","1","1","1","1010622","0","2025-2026"
"Region","Region 5","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","32.8749","2.4134","5164","11231908","2025-2026, Region 5. Overall (6 months-17 years)",,"1","6","2","1","1060101","0","2025-2026"
"State","Minnesota","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","30.3546","5.4139","664","1816194","2025-2026, Minnesota. Overall (6 months-17 years)","1","1","36","3","1","1360101","0","2025-2026"
"State","Puerto Rico","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","15.3592","10.0015","105","471665","2025-2026, Puerto Rico. Overall (6 months-17 years)","2","1","52","3","1","1520101","0","2025-2026"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","17.3892","3.6037","1436","32818082","2025-2026, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0","2025-2026"
"State","Vermont","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","40.0017","8.3594","834","198715","2025-2026, Vermont. Overall (6 months-17 years)",,"1","60","3","1","1600101","0","2025-2026"
"State","New Mexico","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","27.233","5.529","740","370311","2025-2026, New Mexico. Overall (6 months-17 years)","1","1","44","3","1","1440101","0","2025-2026"
"State","District of Columbia","Overall","Overall","Up-to-date","Yes","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","46.4508","6.6392","770","505497","2025-2026, District of Columbia. Overall (6 months-17 years)",,"1","20","3","1","1200101","0","2025-2026"
"Substate","Pennsylvania-Philadelphia County","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","42.9655","6.4405","784","286691","2025-2026, Pennsylvania-Philadelphia County. Overall (6 months-17 years)","1","1","70","4","1","1700101","0","2025-2026"
"State","Virginia","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","10.2789","11.5826","60","2106049","2025-2026, Virginia. Overall (6 months-17 years)","3","1","61","3","1","1610101","0","2025-2026"
"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Probably will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","13.4099","2.9565","1574","34692133","2025-2026, National. Poverty Status: Above Poverty, Income >= $75k","3","4","1","1","1","1010414","0","2025-2026"
"National","National","Age","5-11 years","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","35.3587","2.3755","11487","28528610","2025-2026, National. Age: 5-11 years","1","2","1","1","1","1010206","0","2025-2026"
"National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","40.5976","4.527","5252","8327998","2025-2026, National. Race/Ethnicity: Other, Non-Hispanic","1","5","1","1","1","1010521","0","2025-2026"
"State","Connecticut","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","10.5261","9.4726","46","748108","2025-2026, Connecticut. Overall (6 months-17 years)","4","1","18","3","1","1180101","0","2025-2026"
"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Received a vaccination","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","32.0198","5.0977","5190","10559339","2025-2026, National. Poverty Status: Poverty Status Unknown","1","4","1","1","1","1010417","0","2025-2026"
"State","Arizona","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 2","2025 Nov 08 12:00:00 AM","2025-11-08","23.2489","19.1292","43","4436332","2025-2026, Arizona. Overall (6 months-17 years)","2","1","14","3","1","1140101","0","2025-2026"
